age_group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Y00-04,2004,1911,1815,1717,1678,1563,1483,1487,1239,1135,1101,1079,1159
Y05-09,242,202,207,206,181,219,192,198,149,149,150,165,194
Y10-14,282,250,241,241,232,262,261,247,210,218,227,211,256
Y15-19,730,648,610,565,648,569,561,596,550,489,573,589,574
Y20-24,1154,1019,959,877,901,874,872,840,814,737,769,821,837
Y25-29,1270,1181,1149,1069,1047,1024,1001,1062,995,896,1012,959,985
Y30-34,1764,1619,1560,1410,1452,1365,1324,1342,1231,1227,1316,1311,1291
Y35-39,2864,2877,2659,2538,2350,2237,2055,2121,1915,1957,2017,1893,1918
Y40-44,4765,4725,4555,4304,4308,4153,4084,3952,3743,3661,3642,3501,3302
Y45-49,7983,7984,7767,7387,7662,7103,7167,6911,6675,6962,6931,6592,6296
Y50-54,11239,11315,11343,11379,11926,11646,11480,11598,11105,12039,11930,11174,10883
Y55-59,16046,16096,15924,15781,16525,16173,16282,16435,16499,18372,18683,18189,17786
Y60-64,25861,25313,24067,23198,23995,22398,23211,23140,22919,26380,26299,25264,24618
Y65-69,33930,34985,35060,35631,37615,36488,35704,34076,32725,37688,37415,35754,34577
Y70-74,53831,54122,52089,49874,49951,47379,49737,49587,50459,61973,59726,56056,52107
Y75-79,78610,78818,76831,75696,80580,76350,79492,75479,72840,83204,78321,79310,76556
Y80-84,112457,115208,110882,109415,116284,107560,112299,108840,109518,131356,122810,123404,114422
Y85-89,126291,131093,127394,125989,139013,132045,140863,135177,136600,158488,146985,151705,142287
Y90-94,70261,82190,89084,97406,109970,103969,112295,109421,110500,130669,121974,131257,120585
Y95+,41843,41327,36548,33681,41253,41884,48698,50624,53731,62717,59465,65843,60432
