age_group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Y00-04,2615118,2648690,2682957,2722830,2742580,2766691,2794628,2820772,2822037,2814758,2783769,2761737,2707604,2639830,2563779,2491284,2414284,2338752,2264538,2216510,2142834,2085244,2031476
Y05-09,2670883,2642383,2642001,2665027,2698540,2719674,2753946,2783266,2807843,2809995,2819562,2836532,2846970,2839650,2826949,2793205,2752385,2691273,2627956,2578340,2523317,2464447,2409672
Y10-14,2811136,2841184,2830446,2816816,2793342,2773113,2758757,2767693,2785425,2815128,2830915,2836934,2840653,2845693,2832275,2830996,2836003,2841862,2835060,2841695,2823644,2794408,2745119
Y15-19,2951444,2877206,2856180,2850135,2866629,2896122,2943031,2947221,2941153,2917378,2896250,2865512,2850419,2847440,2863240,2870747,2879427,2873676,2871056,2857013,2866117,2895108,2921261
Y20-24,3403172,3297760,3232237,3170428,3101283,3033697,3019868,3043117,3051364,3075031,3099677,3125714,3099555,3060268,3011433,2982184,2961062,2962307,2955888,2957340,2923341,2938344,2950359
Y25-29,4226129,4106073,4033696,3905064,3743185,3596111,3531963,3460079,3396597,3357372,3314664,3278455,3266140,3235616,3218786,3215851,3216640,3175599,3128494,3045579,3001345,2995670,3012211
Y30-34,4538190,4533168,4568378,4580466,4555980,4468611,4396162,4288646,4114496,3954616,3809575,3721266,3628726,3548205,3480793,3412512,3346272,3320500,3282441,3226146,3211649,3234123,3213337
Y35-39,4634717,4693056,4752934,4765505,4738533,4715429,4737619,4738681,4718939,4689885,4601481,4499274,4374615,4189436,4019133,3872779,3758255,3654733,3572191,3483252,3412872,3366663,3357101
Y40-44,4093260,4203385,4361165,4533812,4659852,4759077,4848120,4900029,4891294,4870390,4846233,4833220,4809514,4773914,4725830,4628648,4504958,4372031,4187464,4008570,3868084,3773564,3680853
Y45-49,3745904,3802030,3887195,3975013,4064767,4168756,4298401,4444872,4606933,4738991,4838039,4912951,4949356,4922880,4883298,4850613,4818286,4785280,4749765,4692501,4609870,4503977,4380844
Y50-54,3834841,3772816,3708736,3710698,3720210,3773144,3853175,3936508,4020325,4115911,4219694,4328297,4457493,4606435,4720066,4808923,4870982,4900974,4876704,4817675,4807237,4791465,4770527
Y55-59,3350758,3474812,3622927,3747671,3883444,3816058,3756135,3689385,3690217,3710147,3771147,3848124,3920002,3991998,4071859,4166061,4263608,4387417,4537491,4623965,4735135,4810601,4848988
Y60-64,3454797,3439915,3375198,3282309,3164100,3288694,3419345,3568056,3689905,3824379,3754974,3687838,3615804,3612371,3625089,3680986,3750459,3819054,3893350,3946096,4053284,4162290,4292746
Y65-69,3077349,3104112,3168211,3243092,3310754,3329227,3311281,3250377,3163420,3051944,3179331,3304792,3441090,3551096,3670374,3599731,3534776,3468709,3471014,3474333,3527442,3601512,3672071
Y70-74,2809168,2824266,2842188,2867483,2859310,2858191,2893614,2963888,3037941,3106471,3127001,3104623,3041127,2958073,2848705,2965634,3083893,3215420,3324360,3441171,3368919,3312180,3254150
Y75-79,2277940,2308649,2332858,2362331,2425270,2461103,2474434,2497809,2525832,2528778,2537412,2577066,2644574,2716379,2775042,2790572,2767716,2712798,2644013,2547210,2649517,2760935,2887393
Y80-84,1268161,1440220,1607590,1734099,1764351,1791707,1823036,1848769,1875153,1931624,1963059,1981859,2010325,2043916,2050515,2063678,2098937,2162715,2231536,2277963,2283923,2263224,2223335
Y85-89,828433,748082,666574,651320,727040,831266,947603,1054936,1129987,1156291,1177107,1201229,1227348,1257686,1299278,1330825,1343948,1367800,1396624,1396102,1401252,1424476,1481572
Y90-94,333301,355771,364019,376455,379181,365848,334245,304103,302254,352534,408707,458180,510073,547392,554313,571057,583270,599445,616360,629658,640339,639782,654100
Y95+,68569,72800,76500,83814,90645,98206,106406,112385,119201,126874,126588,113706,104529,107219,122955,140448,152608,166328,175183,175094,180012,179188,184115
